@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Age numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A11,18,1131,A92,33,A191,2
A11,24,3345,A93,39,A192,2
A12,36,2225,A93,57,A192,2
A12,18,1042,A92,33,A191,2
A11,21,1647,A93,40,A191,2
A12,36,1953,A93,61,A192,2
A14,10,1309,A93,27,A191,2
A11,15,3959,A92,29,A192,2
A11,24,1199,A93,60,A191,2
A11,6,448,A92,23,A191,2
A14,24,4591,A93,54,A192,2
A12,36,12389,A93,37,A192,2
A11,24,4110,A93,23,A191,2
A12,48,18424,A92,32,A192,2
A11,18,1345,A94,26,A191,2
A11,24,915,A92,29,A191,2
A12,9,1670,A92,22,A192,2
A11,12,626,A92,24,A191,2
A11,21,3414,A93,26,A191,2
A11,40,5998,A93,27,A192,2
A13,24,1344,A93,37,A191,2
A12,30,5234,A94,28,A191,2
A14,9,1980,A92,19,A191,2
A11,12,2246,A93,60,A191,2
A12,27,3915,A93,36,A192,2
A11,18,2462,A93,22,A191,2
A12,12,1484,A94,25,A192,2
A12,12,836,A92,23,A191,2
A12,60,14027,A93,27,A192,2
A11,24,1659,A92,29,A192,2
A12,12,1534,A94,23,A191,2
A11,18,750,A92,27,A191,2
A12,6,433,A92,24,A191,2
A11,12,1372,A91,36,A191,2
A11,12,902,A94,21,A191,2
A11,36,8229,A93,26,A191,2
A11,18,1190,A92,55,A191,2
A12,24,4241,A93,36,A192,2
A13,18,2864,A93,34,A191,2
A12,45,4746,A93,25,A191,2
A11,36,1977,A93,40,A192,2
A11,30,2406,A92,23,A191,2
A12,18,1245,A94,33,A191,2
A12,6,931,A92,32,A191,2
A11,18,3966,A92,33,A192,2
A11,36,6887,A93,29,A192,2
A12,15,1512,A94,61,A191,2
A14,48,4844,A93,33,A192,2
A11,24,1987,A93,21,A191,2
A14,12,1555,A93,55,A191,2
A12,18,4297,A91,40,A192,2
A11,24,1381,A92,35,A191,2
A11,24,1333,A93,43,A191,2
A12,24,1355,A92,25,A192,2
A14,36,10974,A92,26,A192,2
A13,9,1337,A93,34,A192,2
A11,18,1217,A94,47,A192,2
A11,12,3499,A92,29,A191,2
A12,21,2767,A91,61,A191,2
A14,21,2580,A93,41,A191,2
A13,36,4210,A93,26,A191,2
A11,36,2746,A93,31,A191,2
A11,20,2235,A94,33,A191,2
A11,48,6999,A94,34,A192,2
A12,36,2671,A92,50,A191,2
A11,24,1938,A91,32,A191,2
A11,24,3161,A93,31,A192,2
A11,48,6331,A93,46,A192,2
A11,36,8335,A93,47,A191,2
A12,6,14555,A93,23,A192,2
A11,24,1823,A93,30,A191,2
A11,48,3931,A93,46,A191,2
A12,9,918,A92,30,A191,2
A12,15,802,A93,37,A191,2
A12,8,1237,A92,24,A191,2
A12,24,3092,A94,22,A192,2
A11,12,1282,A92,20,A191,2
A11,24,1207,A92,24,A191,2
A12,18,884,A93,36,A192,2
A12,24,11560,A92,23,A191,2
A11,24,1285,A92,32,A191,2
A11,48,4308,A92,24,A191,2
A12,36,9398,A94,28,A192,2
A11,24,4870,A93,53,A191,2
A14,15,4623,A93,40,A192,2
A11,12,1274,A92,37,A191,2
A14,36,7127,A92,23,A192,2
A11,24,2359,A91,33,A191,2
A14,10,2210,A93,25,A191,2
A12,27,2520,A93,23,A191,2
A11,18,976,A92,23,A191,2
A11,24,3552,A93,27,A191,2
A11,14,8978,A91,45,A192,2
A11,45,11816,A93,29,A191,2
A11,18,2473,A93,25,A191,2
A11,12,741,A92,22,A191,2
A11,18,1553,A93,44,A191,2
A12,60,7408,A92,24,A191,2
A13,9,745,A92,28,A191,2
A12,24,11328,A93,29,A192,2
A14,12,719,A93,41,A191,2
A12,9,5129,A92,74,A192,2
A11,48,4605,A93,24,A191,2
A14,36,9572,A91,28,A191,2
A14,18,6761,A93,68,A191,2
A14,18,1864,A92,30,A191,2
A11,24,2439,A92,35,A192,2
A11,36,3446,A93,42,A191,2
A13,15,2327,A92,25,A191,2
A11,18,3190,A92,24,A191,2
A11,24,1282,A92,32,A191,2
A14,21,5003,A92,29,A192,2
A12,36,2820,A91,27,A191,2
A11,15,950,A93,33,A191,2
A12,24,1216,A93,38,A191,2
A11,24,4817,A93,31,A192,2
A14,18,2775,A93,31,A191,2
A14,9,1478,A93,22,A191,2
A11,42,7174,A92,30,A192,2
A12,48,6224,A93,50,A191,2
A12,12,639,A93,30,A191,2
A12,30,3441,A92,21,A191,2
A12,36,8086,A93,42,A192,2
A12,48,15672,A93,23,A192,2
A14,18,433,A92,22,A191,2
A14,30,7485,A92,53,A192,2
A12,39,4933,A93,25,A191,2
A14,24,3621,A93,31,A191,2
A12,24,1837,A92,34,A191,2
A14,24,5943,A92,44,A192,2
A14,24,2397,A93,35,A192,2
A13,18,2100,A93,37,A191,2
