@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Customer {1,2}

@data
A11,12,A40,A61,A93,2
A11,36,A46,A61,A92,2
A12,30,A42,A62,A92,2
A12,24,A410,A61,A93,2
A11,48,A43,A61,A92,2
A12,60,A40,A62,A92,2
A12,48,A40,A62,A93,2
A11,24,A43,A61,A92,2
A12,60,A40,A61,A93,2
A11,15,A44,A65,A92,2
A13,9,A43,A61,A92,2
A11,24,A40,A61,A93,2
A11,36,A40,A61,A92,2
A12,24,A41,A61,A92,2
A11,36,A42,A61,A93,2
A11,18,A42,A61,A93,2
A12,8,A42,A61,A92,2
A12,48,A49,A61,A92,2
A11,24,A40,A65,A92,2
A11,12,A40,A61,A92,2
A12,45,A43,A62,A93,2
A11,18,A41,A65,A93,2
A11,24,A43,A62,A92,2
A12,9,A40,A62,A93,2
A12,6,A40,A62,A92,2
A14,30,A41,A65,A92,2
A14,12,A42,A63,A92,2
A13,15,A43,A61,A92,2
A11,21,A46,A61,A93,2
A12,30,A40,A61,A92,2
A14,6,A42,A61,A92,2
A12,15,A40,A62,A92,2
A12,24,A49,A61,A93,2
A11,30,A42,A61,A92,2
A12,9,A41,A61,A92,2
A11,24,A42,A61,A91,2
A11,36,A46,A65,A93,2
A12,36,A49,A61,A91,2
A14,24,A49,A64,A93,2
A14,18,A49,A61,A93,2
A14,18,A40,A61,A93,2
A12,48,A49,A61,A93,2
A12,54,A49,A61,A93,2
A11,30,A42,A61,A91,2
