@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute InstallmentRate numeric
@attribute Guarantors {A101,A103,A102}
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
A11,6887,4,A101,A152,2
A12,1501,2,A101,A152,2
A12,1924,4,A101,A151,2
A12,2767,4,A101,A151,2
A12,5234,4,A101,A152,2
A13,1908,4,A101,A152,2
A12,14555,1,A101,A152,2
A11,5998,4,A101,A152,2
A12,1512,3,A101,A152,2
A14,797,4,A101,A152,2
A14,1555,4,A101,A153,2
A12,12579,4,A101,A153,2
A11,900,4,A101,A152,2
A12,918,4,A101,A152,2
A11,674,4,A101,A152,2
A11,3349,4,A101,A153,2
A14,7127,2,A101,A151,2
A14,3914,4,A101,A152,2
A11,2746,4,A101,A152,2
A11,6872,2,A101,A152,2
A11,7297,4,A102,A151,2
A12,6560,3,A101,A152,2
A14,7980,4,A101,A151,2
A12,951,4,A101,A151,2
A11,3345,4,A101,A151,2
A11,795,4,A101,A152,2
A12,1953,4,A101,A153,2
A11,902,4,A101,A151,2
A11,691,4,A101,A152,2
A12,1437,2,A101,A152,2
A11,1345,4,A101,A152,2
A12,1295,3,A101,A151,2
A11,6143,4,A101,A153,2
