@relation german

@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Age numeric
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
A32,A40,A61,26,A152,2
A33,A45,A64,61,A152,2
A32,A40,A61,33,A152,2
A34,A42,A61,60,A152,2
A32,A43,A62,31,A152,2
A34,A43,A62,38,A152,2
A31,A43,A61,24,A152,2
A32,A42,A61,37,A152,2
A32,A42,A65,31,A152,2
A32,A40,A61,45,A152,2
A30,A40,A62,28,A152,2
A32,A40,A61,24,A151,2
A32,A43,A62,20,A152,2
A32,A40,A61,45,A152,2
A31,A40,A65,40,A152,2
A32,A46,A61,42,A153,2
A31,A49,A61,37,A151,2
A30,A42,A61,26,A151,2
A30,A42,A61,23,A151,2
A32,A44,A61,47,A152,2
A32,A42,A65,27,A151,2
A32,A43,A62,32,A152,2
A34,A46,A61,33,A151,2
A32,A40,A61,20,A151,2
A32,A42,A61,19,A151,2
A32,A42,A61,53,A153,2
A32,A43,A61,23,A153,2
A32,A49,A65,38,A152,2
A32,A40,A61,46,A153,2
A32,A46,A61,40,A151,2
A34,A49,A61,42,A152,2
A32,A43,A62,22,A151,2
A32,A43,A63,35,A152,2
A33,A49,A61,30,A152,2
A32,A42,A61,34,A152,2
A34,A41,A61,58,A153,2
A32,A43,A61,65,A153,2
A31,A43,A61,24,A151,2
A32,A43,A61,22,A152,2
A33,A49,A61,27,A152,2
A34,A40,A61,28,A152,2
A32,A40,A61,23,A152,2
A32,A43,A61,35,A152,2
